Iter,MSE
0, 1.0000
1, 0.1768
2, 0.1476
3, 0.1236
4, 0.1076
5, 0.0965
6, 0.0824
7, 0.0722
8, 0.0582
9, 0.0464
10, 0.0318
11, 0.0161
12, 0.0032
13, 0.0000
14, 0.0000
