Iter,MSE
0, 1.0000
1, 0.1538
2, 0.1199
3, 0.1048
4, 0.0958
5, 0.0917
6, 0.0893
7, 0.0880
8, 0.0874
9, 0.0872
10, 0.0871
11, 0.0869
12, 0.0870
