Iter,MSE
0, 1.0000
1, 0.1744
2, 0.1436
3, 0.1200
4, 0.1054
5, 0.0906
6, 0.0809
7, 0.0698
8, 0.0602
9, 0.0507
10, 0.0404
11, 0.0295
12, 0.0206
13, 0.0112
14, 0.0043
15, 0.0010
16, 0.0005
17, 0.0004
18, 0.0004
