Iter,SER
0, 1.0000
1, 0.3782
2, 0.3228
3, 0.2794
4, 0.2491
5, 0.2211
6, 0.1946
7, 0.1641
8, 0.1434
9, 0.1174
10, 0.0876
11, 0.0662
12, 0.0385
13, 0.0182
14, 0.0068
15, 0.0024
16, 0.0013
17, 0.0012
