Iter,SER
0, 1.000000000000
1, 0.401489257812
2, 0.350341796875
3, 0.316040039062
4, 0.291625976562
5, 0.267456054688
6, 0.255004882812
7, 0.239746093750
8, 0.225097656250
9, 0.202636718750
10, 0.191406250000
11, 0.180419921875
12, 0.165771484375
13, 0.158935546875
14, 0.143188476562
15, 0.133300781250
16, 0.123657226562
17, 0.113281250000
18, 0.106445312500
19, 0.092041015625
20, 0.079467773438
21, 0.067016601562
22, 0.053710937500
23, 0.040039062500
24, 0.026000976562
#The decoder took: 172 s

