Iter, SER
0, 1.000000000000
1, 0.394775390625
2, 0.334472656250
3, 0.306152343750
4, 0.269775390625
5, 0.243896484375
6, 0.232177734375
7, 0.215576171875
8, 0.198974609375
9, 0.179443359375
10, 0.164916992188
11, 0.146972656250
12, 0.129638671875
13, 0.113769531250
14, 0.096313476562
15, 0.077880859375
16, 0.061401367188
17, 0.041748046875
18, 0.024536132812
19, 0.011962890625
20, 0.004760742188
21, 0.002807617188
22, 0.002685546875
23, 0.002685546875
24, 0.002319335938
#The decoder took: 163 s

