Iter,SER
0, 1.000000000000
1, 0.423461914062
2, 0.376464843750
3, 0.345703125000
4, 0.325073242188
5, 0.307128906250
6, 0.284423828125
7, 0.266113281250
8, 0.256713867188
9, 0.246948242188
10, 0.239868164062
11, 0.228271484375
12, 0.221191406250
13, 0.221435546875
14, 0.212524414062
15, 0.213989257812
16, 0.204101562500
17, 0.202270507812
18, 0.205078125000
19, 0.200195312500
20, 0.199829101562
21, 0.197631835938
22, 0.198486328125
23, 0.200561523438
24, 0.198608398438
#The decoder took: 152 s

