Iter SER
0 1.000000000000
1 0.387939453125
2 0.333374023438
3 0.298461914062
4 0.263305664062
5 0.237182617188
6 0.215576171875
7 0.201049804688
8 0.184570312500
9 0.169799804688
10 0.153686523438
11 0.143310546875
12 0.128173828125
13 0.113525390625
14 0.101440429688
15 0.082275390625
16 0.067016601562
17 0.050292968750
18 0.034301757812
19 0.020019531250
20 0.010009765625
21 0.005004882812
22 0.002685546875
23 0.002685546875
24 0.003051757812
25 0.003051757812
26 0.003051757812
27 0.003051757812
28 0.003051757812
29 0.003051757812
