Iter SER
0 1.000000000000
1 0.399902343750
2 0.333496093750
3 0.301025390625
4 0.269531250000
5 0.252929687500
6 0.232666015625
7 0.211059570312
8 0.192993164062
9 0.176757812500
10 0.163696289062
11 0.149414062500
12 0.134399414062
13 0.118652343750
14 0.104003906250
15 0.087768554688
16 0.071289062500
17 0.051025390625
18 0.034301757812
19 0.018798828125
20 0.008300781250
21 0.003540039062
22 0.001831054688
23 0.001464843750
24 0.001342773438
25 0.001220703125
26 0.001342773438
27 0.001220703125
28 0.001220703125
29 0.001220703125
