Iter SER
0 1.000000000000
1 0.417236328125
2 0.364746093750
3 0.326538085938
4 0.305053710938
5 0.283203125000
6 0.263427734375
7 0.246215820312
8 0.232666015625
9 0.215698242188
10 0.214477539062
11 0.206420898438
12 0.196899414062
13 0.189575195312
14 0.182983398438
15 0.174316406250
16 0.170654296875
17 0.164550781250
18 0.160766601562
19 0.154541015625
20 0.148925781250
21 0.148315429688
22 0.145996093750
23 0.140869140625
24 0.134887695312
25 0.129150390625
26 0.122436523438
27 0.120971679688
28 0.120117187500
29 0.115966796875
