Iter, SER
0, 1.000000000000
1, 0.416259765625
2, 0.366455078125
3, 0.334594726562
4, 0.308959960938
5, 0.294311523438
6, 0.271606445312
7, 0.255981445312
8, 0.240844726562
9, 0.227661132812
10, 0.216064453125
11, 0.205688476562
12, 0.201538085938
13, 0.191650390625
14, 0.187377929688
15, 0.177124023438
16, 0.174560546875
17, 0.168701171875
18, 0.166503906250
19, 0.159057617188
20, 0.154174804688
21, 0.149658203125
22, 0.152343750000
23, 0.147216796875
24, 0.145141601562
#The decoder took: 145 s

