Iter SER
0 1.000000000000
1 0.419921875000
2 0.379394531250
3 0.349975585938
4 0.328979492188
5 0.312988281250
6 0.290771484375
7 0.283935546875
8 0.269165039062
9 0.252319335938
10 0.244995117188
11 0.240478515625
12 0.233032226562
13 0.227050781250
14 0.222900390625
15 0.223510742188
16 0.213378906250
17 0.209594726562
18 0.213012695312
19 0.212280273438
20 0.208862304688
21 0.208984375000
22 0.208007812500
23 0.206420898438
24 0.207275390625
25 0.205810546875
26 0.206542968750
27 0.208251953125
28 0.206542968750
29 0.206298828125
