Iter,MSE
0, 1.000000000000
1, 0.190258002984
2, 0.162750642339
3, 0.142454383975
4, 0.126983652712
5, 0.114938006383
6, 0.108174944814
7, 0.101388860356
8, 0.095430325528
9, 0.089527741074
10, 0.085487596889
11, 0.082316090106
12, 0.079639389978
13, 0.077476509699
14, 0.076156450606
15, 0.075226855171
16, 0.074538855791
17, 0.073643203847
18, 0.072667747243
19, 0.072156395016
20, 0.071667964468
21, 0.071567095619
22, 0.071395327817
23, 0.071357766232
24, 0.071232751390
#The decoder took: 152 s

