Iter,MSE
0, 1.000000000000
1, 0.182065901166
2, 0.149186887201
3, 0.125314426010
4, 0.109546922222
5, 0.098585027030
6, 0.090324382009
7, 0.082219820096
8, 0.074104868574
9, 0.066878376369
10, 0.061958853210
11, 0.056444209581
12, 0.050629085827
13, 0.044275740712
14, 0.037955812846
15, 0.032406923641
16, 0.025934151849
17, 0.018936943128
18, 0.012243298783
19, 0.006168837618
20, 0.002037857137
21, 0.000745476715
22, 0.000400465478
23, 0.000335766096
24, 0.000349261955
#The decoder took: 167 s

