Iter SER
0 1.000000000000
1 0.400146484375
2 0.345703125000
3 0.309692382812
4 0.288452148438
5 0.266357421875
6 0.242187500000
7 0.224487304688
8 0.217895507812
9 0.206420898438
10 0.186645507812
11 0.175903320312
12 0.163818359375
13 0.152343750000
14 0.142700195312
15 0.131347656250
16 0.119873046875
17 0.105957031250
18 0.098999023438
19 0.088500976562
20 0.081054687500
21 0.061889648438
22 0.051635742188
23 0.037597656250
24 0.022827148438
25 0.012817382812
26 0.005615234375
27 0.003051757812
28 0.001464843750
29 0.001098632812
