Iter SER
0 1.000000000000
1 0.414184570312
2 0.358398437500
3 0.331787109375
4 0.304931640625
5 0.284423828125
6 0.269042968750
7 0.255371093750
8 0.239868164062
9 0.219970703125
10 0.203735351562
11 0.204101562500
12 0.189697265625
13 0.183593750000
14 0.173706054688
15 0.166503906250
16 0.163208007812
17 0.154174804688
18 0.147216796875
19 0.140869140625
20 0.140625000000
21 0.134643554688
22 0.134277343750
23 0.127319335938
24 0.125488281250
25 0.122558593750
26 0.120483398438
27 0.116699218750
28 0.114379882812
29 0.106445312500
