Iter SER
0 1.000000000000
1 0.410522460938
2 0.352050781250
3 0.318237304688
4 0.287109375000
5 0.267333984375
6 0.246704101562
7 0.229003906250
8 0.214233398438
9 0.202148437500
10 0.187255859375
11 0.179687500000
12 0.168579101562
13 0.155761718750
14 0.143676757812
15 0.134887695312
16 0.125366210938
17 0.103393554688
18 0.095703125000
19 0.080078125000
20 0.068359375000
21 0.050781250000
22 0.038574218750
23 0.020629882812
24 0.011352539062
25 0.005004882812
26 0.003417968750
27 0.003051757812
28 0.002441406250
29 0.002319335938
