Iter SER
0 1.000000000000
1 0.428100585938
2 0.378417968750
3 0.346923828125
4 0.324096679688
5 0.305175781250
6 0.283691406250
7 0.269531250000
8 0.263427734375
9 0.247070312500
10 0.237182617188
11 0.229492187500
12 0.227294921875
13 0.221313476562
14 0.220336914062
15 0.216308593750
16 0.212524414062
17 0.212402343750
18 0.212036132812
19 0.208862304688
20 0.208129882812
21 0.207763671875
22 0.206420898438
23 0.205810546875
24 0.206420898438
25 0.206176757812
26 0.206054687500
27 0.205200195312
28 0.206665039062
29 0.205200195312
