Iter,SER
0, 1.0000
1, 0.4127
2, 0.3606
3, 0.3241
4, 0.3049
5, 0.2749
6, 0.2585
7, 0.2427
8, 0.2341
9, 0.2174
10, 0.2015
11, 0.1962
12, 0.1836
13, 0.1760
14, 0.1630
15, 0.1504
16, 0.1409
17, 0.1321
18, 0.1230
19, 0.1105
20, 0.1000
21, 0.0911
22, 0.0767
23, 0.0645
24, 0.0452
