Iter,MSE
0, 1.0000
1, 0.1758
2, 0.1400
3, 0.1171
4, 0.1017
5, 0.0895
6, 0.0779
7, 0.0677
8, 0.0585
9, 0.0495
10, 0.0416
11, 0.0325
12, 0.0224
13, 0.0136
14, 0.0062
15, 0.0022
16, 0.0006
17, 0.0004
18, 0.0004
