Iter,SER
0, 1.0000
1, 0.3802
2, 0.3104
3, 0.2646
4, 0.2329
5, 0.1982
6, 0.1735
7, 0.1520
8, 0.1266
9, 0.0983
10, 0.0712
11, 0.0455
12, 0.0217
13, 0.0063
14, 0.0023
15, 0.0015
16, 0.0017
