Iter,MSE
0, 1.0000
1, 0.1799
2, 0.1490
3, 0.1272
4, 0.1113
5, 0.1006
6, 0.0914
7, 0.0840
8, 0.0756
9, 0.0685
10, 0.0628
11, 0.0573
12, 0.0513
13, 0.0463
14, 0.0411
15, 0.0353
16, 0.0284
17, 0.0226
18, 0.0160
19, 0.0100
20, 0.0053
21, 0.0021
22, 0.0010
23, 0.0007
24, 0.0007
