Iter,MSE
0, 1.0000
1, 0.1872
2, 0.1564
3, 0.1370
4, 0.1226
5, 0.1133
6, 0.1058
7, 0.0993
8, 0.0936
9, 0.0888
10, 0.0854
11, 0.0836
12, 0.0801
13, 0.0781
14, 0.0761
15, 0.0745
16, 0.0734
17, 0.0727
18, 0.0719
19, 0.0709
20, 0.0704
21, 0.0704
22, 0.0701
23, 0.0700
24, 0.0697
