Iter,MSE
0, 1.0000
1, 0.1814
2, 0.1510
3, 0.1313
4, 0.1184
5, 0.1082
6, 0.0980
7, 0.0895
8, 0.0812
9, 0.0761
10, 0.0710
11, 0.0657
12, 0.0625
13, 0.0580
14, 0.0533
15, 0.0496
16, 0.0462
17, 0.0419
18, 0.0376
19, 0.0338
20, 0.0296
21, 0.0250
22, 0.0200
23, 0.0142
24, 0.0091
