Iter,SER
0, 1.0000
1, 0.4006
2, 0.3398
3, 0.3093
4, 0.2794
5, 0.2566
6, 0.2333
7, 0.2145
8, 0.1975
9, 0.1765
10, 0.1631
11, 0.1481
12, 0.1359
13, 0.1191
14, 0.1055
15, 0.0918
16, 0.0729
17, 0.0537
18, 0.0336
19, 0.0193
20, 0.0081
21, 0.0029
22, 0.0026
23, 0.0031
