Iter,MSE
0, 1.0000
1, 0.1784
2, 0.1451
3, 0.1251
4, 0.1110
5, 0.1020
6, 0.0926
7, 0.0826
8, 0.0753
9, 0.0680
10, 0.0610
11, 0.0556
12, 0.0504
13, 0.0447
14, 0.0392
15, 0.0332
16, 0.0271
17, 0.0215
18, 0.0152
19, 0.0095
20, 0.0050
21, 0.0024
22, 0.0013
23, 0.0009
24, 0.0009
