Iter,MSE
0, 1.0000
1, 0.1807
2, 0.1514
3, 0.1329
4, 0.1188
5, 0.1073
6, 0.0967
7, 0.0889
8, 0.0810
9, 0.0750
10, 0.0706
11, 0.0663
12, 0.0616
13, 0.0578
14, 0.0540
15, 0.0504
16, 0.0475
17, 0.0443
18, 0.0404
19, 0.0360
20, 0.0320
21, 0.0275
22, 0.0223
23, 0.0171
24, 0.0123
