Iter,MSE
0, 1.0000
1, 0.1719
2, 0.1369
3, 0.1166
4, 0.1002
5, 0.0876
6, 0.0759
7, 0.0651
8, 0.0552
9, 0.0454
10, 0.0366
11, 0.0267
12, 0.0168
13, 0.0078
14, 0.0028
15, 0.0009
16, 0.0006
17, 0.0005
