Iter,MSE
0, 1.0000
1, 0.1881
2, 0.1600
3, 0.1396
4, 0.1253
5, 0.1147
6, 0.1073
7, 0.0999
8, 0.0943
9, 0.0893
10, 0.0851
11, 0.0821
12, 0.0797
13, 0.0777
14, 0.0759
15, 0.0747
16, 0.0736
17, 0.0726
18, 0.0719
19, 0.0714
20, 0.0707
21, 0.0702
22, 0.0700
23, 0.0697
24, 0.0696
