Iter,SER
0, 1.0000
1, 0.3876
2, 0.3211
3, 0.2799
4, 0.2467
5, 0.2140
6, 0.1895
7, 0.1614
8, 0.1402
9, 0.1132
10, 0.0890
11, 0.0615
12, 0.0375
13, 0.0169
14, 0.0051
15, 0.0018
16, 0.0012
17, 0.0012
