Iter,SER
0, 1.0000
1, 0.4017
2, 0.3448
3, 0.3115
4, 0.2824
5, 0.2602
6, 0.2388
7, 0.2225
8, 0.2051
9, 0.1941
10, 0.1797
11, 0.1645
12, 0.1545
13, 0.1380
14, 0.1276
15, 0.1181
16, 0.1033
17, 0.0905
18, 0.0759
19, 0.0631
20, 0.0491
21, 0.0361
22, 0.0219
23, 0.0126
24, 0.0063
